phi,x,r,re
23.7141431773311,0.22000000000000003,0.033,53944.60070221337
19.93219866602664,0.3066666666666667,0.046,88415.4654947561
17.332399740916685,0.3933333333333333,0.059,118453.0399571095
13.968669417180395,0.4800000000000001,0.07200000000000001,135799.9844997579
12.3749302073122,0.5666666666666667,0.08499999999999999,150299.44558144643
11.199811824738948,0.6533333333333334,0.098,158657.16528168006
9.889251591044442,0.74,0.111,153687.15552404558
8.379604907471276,0.8266666666666667,0.124,139300.8926326309
7.930266729166789,0.9133333333333334,0.137,117447.22605976049
7.450134676909074,1.0,0.15,81612.84500108859
